"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","TC_007.01 | Форма 'Авторизации' - Ввод валидных данных в поле для ввода имени.","0","0","9","0","0"
"","","TC_003.05 | Меню выбора типа аутентификации - При вводе Лицевого счета в поле 'Почта' таб выбора аутентификации меняется автоматически.","0","0","1","0","0"
"","","TC_002.01 | Меню выбора типа аутентификации - По умолчанию выбрана кнопка переключения между вкладками 'Телефон'","0","0","1","0","0"
"","","TC_007.02 | Форма 'Авторизации' - Ввод не валидных данных в поле для ввода имени.","0","0","0","11","0"
"","","TC_003.07 | Меню выбора типа аутентификации - При вводе Логина в поле 'Лицевой счет' таб выбора аутентификации меняется автоматически.","0","0","1","0","0"
"","","TC_003.01 | Меню выбора типа аутентификации - При вводе эл.почты в поле 'Телефон' таб выбора аутентификации меняется автоматически.","0","0","1","0","0"
"","","TC_003.03 | Меню выбора типа аутентификации - При вводе номера телефона в поле 'Почта' таб выбора аутентификации меняется автоматически.","0","0","1","0","0"
"","","TC_005.04 | Форма 'Авторизации' - Пользователь может авторизоваться по валидному логину и валидному паролю.","0","0","1","0","0"
"","","TC_003.06 | Меню выбора типа аутентификации - При вводе эл.почты в поле 'Лицевой счет' таб выбора аутентификации меняется автоматически.","0","0","1","0","0"
"","","TC_001.03 | Меню выбора типа аутентификации - кнопка 'Логин'","0","0","1","0","0"
"","","TC_005.03 | Форма 'Авторизации' - Система выводит сообщение о пустом поле при вводе пустого Email.","0","0","1","0","0"
"","","TC_001.02 | Меню выбора типа аутентификации - кнопка 'Почта'","0","0","1","0","0"
"","","TC_001.04 | Меню выбора типа аутентификации - кнопка 'Лицевой счет'","0","0","1","0","0"
"","","TC_004.03 | Форма 'Авторизации' - Наличие кнопки авторизации через соц. сеть Mail","0","0","1","0","0"
"","","TC_001.01 | Меню выбора типа аутентификации - кнопка 'Телефон'","0","0","1","0","0"
"","","TC_003.02 | Меню выбора типа аутентификации - При вводе Логина в поле 'Телефон' таб выбора аутентификации меняется автоматически.","0","0","1","0","0"
"","","TC_004.02 | Форма 'Авторизации' - Наличие кнопки авторизации через соц. сеть OK","0","0","1","0","0"
"","","TC_004.05 | Форма 'Авторизации' - Наличие кнопки авторизации через соц. сеть YA","0","0","1","0","0"
"","","TC_004.04 | Форма 'Авторизации' - Наличие кнопки авторизации через соц. сеть Google","0","0","1","0","0"
"","","TC_005.01 | Форма 'Авторизации' - Пользователь может авторизоваться по валидной эл.почте и валидному паролю.","0","0","1","0","0"
"","","TC_004.01 | Форма 'Авторизации' - Наличие кнопки авторизации через соц. сеть VK","0","0","1","0","0"
"","","TC_003.04 | Меню выбора типа аутентификации - При вводе Логина в поле 'Почта' таб выбора аутентификации меняется автоматически.","0","0","1","0","0"
"","","TC_005.02 | Форма 'Авторизации' - Система выводит сообщение об ошибке при вводе не валидного пароля.","0","0","1","0","0"
