"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","TC_004.03 | Наличие кнопки авторизации через соц. сеть Mail","0","1","0","0","0"
"","","TC_003.01 | Меню выбора типа аутентификации - При вводе эл.почты в поле 'Телефон' таб выбора аутентификации меняется автоматически.","0","1","0","0","0"
"","","TC_003.05 | Меню выбора типа аутентификации - При вводе Лицевого счета в поле 'Почта' таб выбора аутентификации меняется автоматически.","0","1","0","0","0"
"","","TC_002.01 | Меню выбора типа аутентификации - По умолчанию выбрана кнопка переключения между вкладками 'Телефон'","0","1","0","0","0"
"","","TC_004.04 | Наличие кнопки авторизации через соц. сеть Google","0","1","0","0","0"
"","","TC_003.06 | Меню выбора типа аутентификации - При вводе эл.почты в поле 'Лицевой счет' таб выбора аутентификации меняется автоматически.","0","1","0","0","0"
"","","TC_004.05 | Наличие кнопки авторизации через соц. сеть YA","0","1","0","0","0"
"","","TC_001.03 | Меню выбора типа аутентификации - кнопка 'Логин'","0","1","0","0","0"
"","","TC_001.04 | Меню выбора типа аутентификации - кнопка 'Лицевой счет'","0","1","0","0","0"
"","","TC_001.02 | Меню выбора типа аутентификации - кнопка 'Почта'","0","1","0","0","0"
"","","TC_004.02 | Наличие кнопки авторизации через соц. сеть OK","0","1","0","0","0"
"","","TC_001.01 | Меню выбора типа аутентификации - кнопка 'Телефон'","0","1","0","0","0"
"","","TC_004.01 | Наличие кнопки авторизации через соц. сеть VK","0","1","0","0","0"
"","","TC_003.03 | Меню выбора типа аутентификации - При вводе номера телефона в поле 'Почта' таб выбора аутентификации меняется автоматически.","0","1","0","0","0"
"","","TC_003.07 | Меню выбора типа аутентификации - При вводе Логина в поле 'Лицевой счет' таб выбора аутентификации меняется автоматически.","0","1","0","0","0"
"","","TC_003.04 | Меню выбора типа аутентификации - При вводе Логина в поле 'Почта' таб выбора аутентификации меняется автоматически.","0","1","0","0","0"
"","","TC_003.02 | Меню выбора типа аутентификации - При вводе Логина в поле 'Телефон' таб выбора аутентификации меняется автоматически.","0","1","0","0","0"
