"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 06 14:19:18 GMT 2023","Fri Jan 06 14:19:31 GMT 2023","13128","","test_main","","","","test_user_can_go_to_ok",""
"passed","Fri Jan 06 14:18:06 GMT 2023","Fri Jan 06 14:18:14 GMT 2023","7893","","test_main","","","","test_input_phone_in_mail",""
"passed","Fri Jan 06 14:18:18 GMT 2023","Fri Jan 06 14:18:25 GMT 2023","7838","","test_main","","","","test_input_login_in_mail",""
"skipped","Fri Jan 06 14:15:26 GMT 2023","Fri Jan 06 14:15:48 GMT 2023","21862","","test_login","","","","test_user_can_autorize",""
"passed","Fri Jan 06 14:20:02 GMT 2023","Fri Jan 06 14:20:14 GMT 2023","11779","","test_main","","","","test_user_can_go_to_ya",""
"passed","Fri Jan 06 14:17:50 GMT 2023","Fri Jan 06 14:18:02 GMT 2023","11524","","test_main","","","","test_input_login_in_phone",""
"broken","Fri Jan 06 14:16:12 GMT 2023","Fri Jan 06 14:16:32 GMT 2023","19637","","test_login","","","","test_should_be_captcha",""
"passed","Fri Jan 06 14:17:23 GMT 2023","Fri Jan 06 14:17:32 GMT 2023","8883","","test_main","","","","test_btn_phone_default",""
"passed","Fri Jan 06 14:18:40 GMT 2023","Fri Jan 06 14:18:49 GMT 2023","9190","","test_main","","","","test_input_mail_in_ls",""
"skipped","Fri Jan 06 14:15:51 GMT 2023","Fri Jan 06 14:16:10 GMT 2023","19076","","test_login","","","","test_error_invalid_password",""
"passed","Fri Jan 06 14:17:13 GMT 2023","Fri Jan 06 14:17:21 GMT 2023","7686","","test_main","","","","test_btn_ls",""
"passed","Fri Jan 06 14:16:50 GMT 2023","Fri Jan 06 14:16:58 GMT 2023","8849","","test_main","","","","test_btn_mail",""
"passed","Fri Jan 06 14:19:49 GMT 2023","Fri Jan 06 14:19:58 GMT 2023","8898","","test_main","","","","test_user_can_go_to_google",""
"passed","Fri Jan 06 14:17:36 GMT 2023","Fri Jan 06 14:17:44 GMT 2023","7773","","test_main","","","","test_input_mail_in_phone",""
"passed","Fri Jan 06 14:16:39 GMT 2023","Fri Jan 06 14:16:47 GMT 2023","7658","","test_main","","","","test_btn_phone",""
"passed","Fri Jan 06 14:17:02 GMT 2023","Fri Jan 06 14:17:09 GMT 2023","7083","","test_main","","","","test_btn_login",""
"passed","Fri Jan 06 14:18:29 GMT 2023","Fri Jan 06 14:18:37 GMT 2023","7822","","test_main","","","","test_input_ls_in_mail",""
"passed","Fri Jan 06 14:19:34 GMT 2023","Fri Jan 06 14:19:46 GMT 2023","11784","","test_main","","","","test_user_can_go_to_mail",""
"passed","Fri Jan 06 14:19:02 GMT 2023","Fri Jan 06 14:19:16 GMT 2023","13478","","test_main","","","","test_user_can_go_to_vk",""
"passed","Fri Jan 06 14:18:53 GMT 2023","Fri Jan 06 14:19:00 GMT 2023","7195","","test_main","","","","test_input_login_in_ls",""
